Año,Premiada,País,Categoría,Motivación,Fecha_Scraping
2008,"Barre-Sinoussi, FrancoiseFrançoise Barré-Sinoussi(compartido conHarald zur HausenyLuc Montagnier)",Francia,Fisiología o Medicina,«Por su descubrimiento delvirus de la inmunodeficiencia humana».[45]​,2025-05-25 23:16:06
2009,"Blackburn, ElizabethElizabeth Blackburn(compartido conCarol W. GreideryJack W. Szostak)",AustraliaEstados Unidos,Fisiología o Medicina,«Por el descubrimiento de cómo los cromosomas son protegidos por los telómeros y la enzima telomerasa».[46]​,2025-05-25 23:16:06
2009,"Yonath, Ada E.Ada E. Yonath(compartido conVenkatraman RamakrishnanyThomas A. Steitz)",IsraelIsrael,Química,«Por el estudio de la estructura y función de los ribosomas».[47]​,2025-05-25 23:16:06
2009,"Muller, HertaHerta Müller",AlemaniaAlemaniaRumaniaRumania,Literatura,"«Quien, con la concentración de la poesía y la franqueza de la prosa, describe el paisaje de los desposeídos».[48]​",2025-05-25 23:16:06
2009,Elinor OstromElinor Ostrom(compartido conOliver E. Williamson),Estados Unidos,Economía,"«Por su análisis de la gobernanza económica, especialmente los bienes comunes».[49]​",2025-05-25 23:16:06
2011,"Johnson-Sirleaf, EllenEllen Johnson-Sirleaf",LiberiaLiberia,Paz,«Por su lucha sin violencia por la seguridad de las mujeres y el derecho de la mujer a participar plenamente en la labor de consolidación de la paz».[50]​,2025-05-25 23:16:06
2013,"Munro, AliceAlice Munro",CanadáCanadá,Literatura,«Maestra del cuento contemporáneo».[51]​,2025-05-25 23:16:06
2014,"Moser, May-BrittMay-Britt Moser(compartido conJohn O'KeefeyEdvard I. Moser)",NoruegaNoruega,Fisiología o Medicina,«Por sus descubrimientos de células que constituyen un sistema de posicionamiento en el cerebro».[52]​,2025-05-25 23:16:06
2014,"Yousafzai, MalalaMalala Yousafzai(compartido conKailash Satyarthi)",PakistánPakistán,Paz,"«Por su lucha contra la represión de los niños y jóvenes, y por el derecho de todos los niños a la educación».[53]​",2025-05-25 23:16:06
2015,"Youyou, TuTu Youyou(compartido conWilliam C. CampbellySatoshi Ōmura)",ChinaChina,Fisiología o Medicina,«Por sus descubrimientos de una nueva terapia contra lamalaria».[54]​,2025-05-25 23:16:06
2015,"Aleksiévich, SvetlanaSvetlana Aleksiévich","BielorrusiaBielorrusia(nacida enIvano-Frankivsk, actualUcrania)",Literatura,"«Por sus escritos polifónicos, un monumento al sufrimiento y valor en nuestro tiempo».[55]​",2025-05-25 23:16:06
2018,"Strickland, DonnaDonna Strickland(compartido conGérard MourouyArthur Ashkin)",CanadáCanadá,Física,«Por su método para generar pulsos ópticos ultra cortos de alta intensidad».[56]​,2025-05-25 23:16:06
2018,"Arnold, FrancesFrances Arnold(compartido conGeorge P. SmithyGregory Winter)",Estados Unidos,Química,«Por la evolución dirigida de enzimas».[57]​,2025-05-25 23:16:06
2018,"Murad, NadiaNadia Murad(compartido conDenis Mukwege)",IrakIrak,Paz,«Por sus esfuerzos para acabar con el uso de la violencia sexual como arma en guerras y conflictos armados»[58]​,2025-05-25 23:16:06
2018,"Tokarczuk, OlgaOlga Tokarczuk",PoloniaPolonia,Literatura,«Por su imaginación narrativa que con pasión enciclopédica representa el cruce de fronteras como una forma de vida».[59]​,2025-05-25 23:16:06
2019,"Duflo, EstherEsther Duflo(compartido conAbhijit BanerjeeyMichael Kremer)",FranciaEstados Unidos,Economía,«Por su enfoque experimental para aliviar la pobreza global».[60]​,2025-05-25 23:16:06
2020,"Ghez, Andrea M.Andrea M. Ghez(compartido conRoger PenroseyReinhard Genzel)",Estados Unidos,Física,«Por el descubrimiento de un objeto compacto supermasivo en el centro de nuestra galaxia».[61]​,2025-05-25 23:16:06
2020,"Charpentier, EmmanuelleEmmanuelle Charpentier",Francia,Química,«Por el desarrollo de un método para la edición del genoma».[62]​,2025-05-25 23:16:06
2020,"Glück, LouiseLouise Glück",Estados Unidos,Literatura,«Por su inconfundible voz poética que con austera belleza hace universal la existencia individual».[63]​,2025-05-25 23:16:06
2021,"Ressa, MaríaMaría Ressa(compartido conDmitri Murátov)",FilipinasFilipinas,Paz,"«Por sus esfuerzos para salvaguardar la libertad de expresión, como condición para la democracia y la paz duradera».[64]​",2025-05-25 23:16:06
2022,"Bertozzi, CarolynCarolyn Bertozzi(compartido conMorten MeldalyKarl Barry Sharpless)",Estados Unidos,Química,«Por el desarrollo de laquímica clicky laquímica bioortogonal».[65]​,2025-05-25 23:16:06
2022,"Ernaux, AnnieAnnie Ernaux",Francia,Literatura,"«Por el coraje y la agudeza clínica con la que descubre las raíces, los extrañamientos y las restricciones colectivas de la memoria personal».[66]​",2025-05-25 23:16:06
2023,Claudia Goldin,Estados Unidos,Economía,«Por avanzar nuestra comprensión de los resultados del trabajo de las mujeres».[67]​,2025-05-25 23:16:06
2023,Narges Mohammadi,IránIrán,Paz,«Por su lucha contra la opresión de las mujeres en Irán y su lucha por promover los derechos humanos para todos»[68]​,2025-05-25 23:16:06
2023,Anne L'Huillier(compartido conPierre AgostiniyFerenc Krausz),Francia,Física,«Por sus métodos experimentales que generan pulsos de luz deattosegundospara el estudio de la dinámica de los electrones en la materia»[69]​,2025-05-25 23:16:06
2023,Katalin Karikó(compartido conDrew Weissman),HungríaHungría,Fisiología o Medicina,«Por sus descubrimientos sobre modificaciones de bases de nucleósidos que permitieron el desarrollo devacunasefectivas de ARNm contra elCOVID-19»[70]​,2025-05-25 23:16:06
2024,Han Kang,Corea del SurCorea del Sur,Literatura,«Por su intensa prosa poética que confronta traumas históricos y expone la fragilidad de la vida humana».[71]​,2025-05-25 23:16:06
